State,Population,Median age,Capital
Alabama,5024279,39.6,Montgomery
Alaska,733391,36.5,Juneau
Arizona,7151502,39.3,Phoenix
Arkansas,3011524,38.9,Little Rock
California,39538223,38.2,Sacramento
Colorado,5773714,37.9,Denver
Connecticut,3605944,41.5,Hartford
Delaware,989948,42,Dover
Florida,21538187,42.8,Tallahassee
Georgia,10711908,37.9,Atlanta
Hawaii,1455271,41.4,Honolulu
Idaho,1839106,37.8,Boise
Illinois,12812508,39.5,Springfield
Indiana,6785528,38.3,Indianapolis
Iowa,3190369,39.1,Des Moines
Kansas,2937880,37.9,Topeka
Kentucky,4505836,39.2,Frankfort
Louisiana,4657757,38.7,Baton Rouge
Maine,1362359,44.9,Augusta
Maryland,6177224,39.8,Annapolis
Massachusetts,7029917,40.3,Boston
Michigan,10077331,40.5,Lansing
Minnesota,5793151,38.6,Saint Paul
Mississippi,2961279,39.3,Jackson
Missouri,6154913,39.3,Jefferson City
Montana,1084225,40.6,Helena
Nebraska,1961504,37.4,Lincoln
Nevada,3104614,39.4,Carson City
New Hampshire,1377529,43.4,Concord
New Jersey,9288994,40.4,Trenton
New Mexico,2117522,39.9,Santa Fe
New York,20201249,40.2,Albany
North Carolina,10439388,39.4,Raleigh
North Dakota,779094,36.3,Bismarck
Ohio,11799448,39.9,Columbus
Oklahoma,3959353,37.1,Oklahoma City
Oregon,4237256,40.7,Salem
Pennsylvania,13078751,40.9,Harrisburg
Rhode Island,1097379,40.8,Providence
South Carolina,5118425,40.5,Columbia
South Dakota,886667,38.5,Pierre
Tennessee,6910840,39.1,Nashville
Texas,29145505,35.9,Austin
Utah,3503613,31.7,Salt Lake City
Vermont,643077,43.7,Montpelier
Virginia,8631393,39.3,Richmond
Washington,7958180,38.2,Olympia
West Virginia,1793716,42.8,Charleston
Wisconsin,5893718,40.5,Madison
Wyoming,587618,38.8,Cheyenne
